task_id,category,accepted,decision,actions,successful_actions,repairs,rollbacks,elapsed_seconds,final_revision,error
blender_move_01,move,True,accept,1,1,0,0,6.968666200060397,1,
blender_move_02,move,True,accept,1,1,0,0,6.357270700042136,1,
blender_move_03,move,True,accept,1,1,0,0,6.258545999997295,1,
blender_move_04,move,True,accept,1,1,0,0,6.393922500079498,1,
blender_rotate_01,rotate,True,accept,1,1,0,0,6.365580299985595,1,
blender_rotate_02,rotate,True,accept,1,1,0,0,6.372669599950314,1,
blender_rotate_03,rotate,True,accept,1,1,0,0,6.39860400010366,1,
blender_scale_01,scale,True,accept,1,1,0,0,6.380173000041395,1,
blender_scale_02,scale,True,accept,1,1,0,0,6.377772800042294,1,
blender_scale_03,scale,True,accept,1,1,0,0,6.402036399929784,1,
blender_place_01,place_on,True,accept,1,1,0,0,6.599825599929318,1,
blender_place_02,place_on,True,accept,1,1,0,0,6.281590800033882,1,
blender_place_03,place_on,True,accept,1,1,0,0,6.404305399977602,1,
blender_place_04,place_on,True,accept,1,1,0,0,6.355963599984534,1,
blender_material_01,material,True,accept,1,1,0,0,6.332138600060716,1,
blender_material_02,material,True,accept,1,1,0,0,6.311251600040123,1,
blender_material_03,material,True,accept,1,1,0,0,6.405170500045642,1,
blender_camera_01,camera,True,accept,1,1,0,0,6.323355500004254,1,
blender_camera_02,camera,True,accept,1,1,0,0,6.336167100002058,1,
blender_light_01,light,True,accept,1,1,0,0,6.40571100008674,1,
blender_light_02,light,True,accept,1,1,0,0,6.876541500096209,1,
blender_create_01,create,True,accept,1,1,0,0,6.930716899922118,1,
blender_delete_01,delete,True,accept,1,1,0,0,6.4073663000017405,1,
blender_compound_01,compound,True,accept,3,3,0,0,16.191406000056304,3,
