variant,category,tasks,task_success_rate,agent_acceptance_rate,false_acceptance_rate,constraint_satisfaction_rate,mean_actions
constraint_solver,camera,5,1.0,1.0,0.0,1.0,1
constraint_solver,compound,4,1.0,1.0,0.0,1.0,2.25
constraint_solver,create,4,1.0,1.0,0.0,1.0,1
constraint_solver,delete,2,1.0,1.0,0.0,1.0,1
constraint_solver,light,5,1.0,1.0,0.0,1.0,1
constraint_solver,material,8,1.0,1.0,0.0,1.0,1
constraint_solver,move,10,1.0,1.0,0.0,1.0,1
constraint_solver,place_on,10,0.6,0.6,0.0,0.6,1
constraint_solver,rotate,8,1.0,1.0,0.0,1.0,1
constraint_solver,scale,8,1.0,1.0,0.0,1.0,1
deterministic_verifier,camera,5,1.0,1.0,0.0,1.0,1
deterministic_verifier,compound,4,0.75,0.75,0.0,0.875,2.25
deterministic_verifier,create,4,1.0,1.0,0.0,1.0,1
deterministic_verifier,delete,2,1.0,1.0,0.0,1.0,1
deterministic_verifier,light,5,1.0,1.0,0.0,1.0,1
deterministic_verifier,material,8,1.0,1.0,0.0,1.0,1
deterministic_verifier,move,10,1.0,1.0,0.0,1.0,1
deterministic_verifier,place_on,10,0.0,0.0,0.0,0.5,1
deterministic_verifier,rotate,8,1.0,1.0,0.0,1.0,1
deterministic_verifier,scale,8,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,camera,5,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,compound,4,0.75,1.0,0.25,0.875,2.25
dynamic_scene_graph,create,4,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,delete,2,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,light,5,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,material,8,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,move,10,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,place_on,10,0.0,1.0,1.0,0.5,1
dynamic_scene_graph,rotate,8,1.0,1.0,0.0,1.0,1
dynamic_scene_graph,scale,8,1.0,1.0,0.0,1.0,1
pure_visual,camera,5,1.0,1.0,0.0,1.0,1
pure_visual,compound,4,0.75,1.0,0.25,0.875,2.25
pure_visual,create,4,1.0,1.0,0.0,1.0,1
pure_visual,delete,2,1.0,1.0,0.0,1.0,1
pure_visual,light,5,1.0,1.0,0.0,1.0,1
pure_visual,material,8,1.0,1.0,0.0,1.0,1
pure_visual,move,10,1.0,1.0,0.0,1.0,1
pure_visual,place_on,10,0.0,1.0,1.0,0.5,1
pure_visual,rotate,8,1.0,1.0,0.0,1.0,1
pure_visual,scale,8,1.0,1.0,0.0,1.0,1
scene_memory,camera,5,1.0,1.0,0.0,1.0,1
scene_memory,compound,4,0.75,1.0,0.25,0.875,2.25
scene_memory,create,4,1.0,1.0,0.0,1.0,1
scene_memory,delete,2,1.0,1.0,0.0,1.0,1
scene_memory,light,5,1.0,1.0,0.0,1.0,1
scene_memory,material,8,1.0,1.0,0.0,1.0,1
scene_memory,move,10,1.0,1.0,0.0,1.0,1
scene_memory,place_on,10,0.0,1.0,1.0,0.5,1
scene_memory,rotate,8,1.0,1.0,0.0,1.0,1
scene_memory,scale,8,1.0,1.0,0.0,1.0,1
verigraph3d,camera,5,1.0,1.0,0.0,1.0,1
verigraph3d,compound,4,1.0,1.0,0.0,1.0,2.25
verigraph3d,create,4,1.0,1.0,0.0,1.0,1
verigraph3d,delete,2,1.0,1.0,0.0,1.0,1
verigraph3d,light,5,1.0,1.0,0.0,1.0,1
verigraph3d,material,8,1.0,1.0,0.0,1.0,1
verigraph3d,move,10,1.0,1.0,0.0,1.0,1
verigraph3d,place_on,10,1.0,1.0,0.0,1.0,1.4
verigraph3d,rotate,8,1.0,1.0,0.0,1.0,1
verigraph3d,scale,8,1.0,1.0,0.0,1.0,1
verigraph3d_active,camera,5,1.0,1.0,0.0,1.0,1
verigraph3d_active,compound,4,1.0,1.0,0.0,1.0,2.25
verigraph3d_active,create,4,1.0,1.0,0.0,1.0,1
verigraph3d_active,delete,2,1.0,1.0,0.0,1.0,1
verigraph3d_active,light,5,1.0,1.0,0.0,1.0,1
verigraph3d_active,material,8,1.0,1.0,0.0,1.0,1
verigraph3d_active,move,10,1.0,1.0,0.0,1.0,1
verigraph3d_active,place_on,10,1.0,1.0,0.0,1.0,1.4
verigraph3d_active,rotate,8,1.0,1.0,0.0,1.0,1
verigraph3d_active,scale,8,1.0,1.0,0.0,1.0,1
verigraph3d_full,camera,5,1.0,1.0,0.0,1.0,1
verigraph3d_full,compound,4,1.0,1.0,0.0,1.0,2.25
verigraph3d_full,create,4,1.0,1.0,0.0,1.0,1
verigraph3d_full,delete,2,1.0,1.0,0.0,1.0,1
verigraph3d_full,light,5,1.0,1.0,0.0,1.0,1
verigraph3d_full,material,8,1.0,1.0,0.0,1.0,1
verigraph3d_full,move,10,1.0,1.0,0.0,1.0,1
verigraph3d_full,place_on,10,1.0,1.0,0.0,1.0,1.4
verigraph3d_full,rotate,8,1.0,1.0,0.0,1.0,1
verigraph3d_full,scale,8,1.0,1.0,0.0,1.0,1
